id,section,declaration,first_page,title
1-2-5,1,1-2,17,"Have you ever had an experience you couldn’t put into words, leaving you to wonder: “Is it just me?” or “No one would understand anyway,” and feel isolated? Bring together those unspoken feelings—and try to craft words for them, together! The world today faces a serious and difficult challenge: how to promote social inclusion while achieving political and so- cial equality alongside cultural diversity? This is the tension between the minority’s desire for safety and freedom, and the anxiety or dissatisfaction of the majority who fear that existing norms may be eroded. To overcome this divide, it is essential to foster resilient dialogue and develop layered relationships of mutual sup- port—relationships that resist fixed roles of “helper” and “helped.” Across nations, regions, sectors, and professions, all stakeholders must collaborate flexibly. Sometimes roles will overlap, sometimes they will be shared or exchanged. The wisdom and experience gained from such collabora- tion can lay the foundation for a strong yet adaptable social solidarity that advances a more inclusive society. The Inochi Forum, alongside international and national efforts, also values local, everyday practices. By weaving these commu- nity-based actions together with care and intention, we aim to build systems of localized circulation that support sus- tainable coexistence. For example, in Ikuno Ward of Osaka City—home to the highest proportion of foreign residents of any urban munic- ipality in Japan—NPO IKUNO Tabunka Flat is working with private enterprises to repurpose a former elementary school into a multicultural hub. Since April 2022, this initiative has supported children from foreign backgrounds who require Japanese language assistance through learning support and children’s cafeterias. These programs create safe spaces and empowering opportunities for minority children experiencing discrimination, poverty, or social exclusion. To further advance these efforts, IKUNO Tabunka Flat pro- pose the following actions: 1. Create mechanisms that enable minorities to actively participate in policy formation and decision-making pro- cesses across all sectors. Ensuring the equal and proactive participation of minori- ties—who are directly affected by public policies—not only to promote social justice but also to uphold the principles of democracy. 2. Expand legal frameworks and implement cross-sector action plans to promote respect for diversity and social inclusion. Beyond cultivating public awareness, laws must be estab- lished to secure education, welfare, and employment in line with international human rights standards, and plans must be formulated and implemented based on those laws. 3. Develop and mobilize financial resources to implement these policies effectively. In particular, it is necessary to enhance financial support for the civic sector, which often has limited funding but provides direct support to marginalized groups. The Inochi Forum, in cooperation with diverse organiza- tions, is committed to promoting these efforts. Together, we will expand spaces where everyone can help create the rules of society with openness and mutual respect. [References] ・Osaka City Foreign Resident Statistics: https://www.city.osaka.lg.jp/shimin/page/0000431477.html ・Ikuno Ward Public Report (June 10, 2024): Results of public proposal selection for research and policy development for a multicultural society ・NHK Kansai Documentary (July 5, 2024): Kansai Netsushisen: “Therefore, I Live Here – The Stronghold of Coexistence in Ikuno, Osaka” [Action Platform] Diversity and Inclusion [SDGs]"
1-3-1,1,1-3,19,"To cultivate our capacity to truly feel Inochi in contemporary society, we propose to expand spaces for Zen and mindfulness practices, while advancing international conferences, edu- cation, research, and community collaboration. Declaration 1-3 Through nature, culture, and spiritual activities, cultivate the capacity to feel Ino- chi and sense its very origin. International Zen and Mindfulness Conference “Zen2.0”"
1-3-2,1,1-3,20,"Toward architecture that cultivates nature and time — Envisioning the future of people and culture together with stones quarried 400 years ago. tunities to learn about Inochi together, fostering cross-re- gional collaboration within Japan and internationally. The Inochi Forum will collaborate with diverse organiza- tions and advance interdisciplinary research and applied practices that explore the nature of human consciousness and spirituality. [Notes] *1 Zen: Originating in Buddhism, Zen emphasizes awareness of the present moment and the pursuit of self-realization through meditation. It is deeply rooted in Japanese culture, influencing arts such as tea ceremony and calligraphy, and embodying values of harmony and tranquility. *2 Mindfulness: Derived from Buddhist meditation practices, mindfulness cultivates awareness of the present. It has been shown to reduce stress, improve focus, and nurture compas- sion for oneself and others. [References] ・International Zen and Mindfulness Conference “Zen2.0” https://www.zen20.jp/ [Action Platform] Arts, Culture and Sports [SDGs] “Traces of Earth”, Photo: Yousuke Ohtake"
1-3-3,1,1-3,21,"Overcome this era of division and uncertainty by sensing and contemplating Inochi through gardens—spaces that connect people and nature. people, and nature engage in quiet dialogue. Takemura explains, “The opportunity to design architecture within the frame- work of the Expo, which we won through a competition, began with our presentation to government officials. As we engaged with the stone, we had many discussions with government representatives and members of the NPO that had long protected it. Those conversations taught us much, and we are honored to have helped bring global attention to this local resource through architecture. We believe this project offers a meaningful chance to revisit and reflect upon important histories.” After the Expo, the stone will return to its original site in the community, continuing its story in a circular narrative. Looking ahead to 2050, Yurica Design & Architecture plans to continue creating architecture rooted in the Japanese view of nature—one that sees humanity and the natural world as intertwined. Their goals include: ●Making invisible existing values visible through architec- ture, enabling cultural continuity ●Creating spatial experiences that appeal to the five senses and perception of human ●Drawing out the unique character of the land and fostering harmonious relationships between nature and people ●Sharing Japan-born values with the world from a borderless perspective ●Building gateways to contemporary culture by integrating history with technology Furthermore, these goals are working on fostering spaces that resonate between people and nature throughout Japan. The Inochi Forum participates in these activities to materi- alize the philosophy of “Open Nostalgia” through architec- ture, weaving future cultures along a long timeline that looks ahead to 2050. [References] ・Yurica Design & Architecture https://www.yuricadesign.com/ ・Ougo Honjin Ruins https://oniwa.garden/ougo-honjin-kobe/ ・Expo 2025 Site Overview and Press Release https://www.expo2025.or.jp/wp/wp-content/up- loads/2400530_wakate5_nishi1.pdf https://architecturephoto.net/209559/ https://www.expo2025.or.jp/news/news-20240530-05/ ・Co-Designers for Expo 2025 Studio mikke! https://note.com/studio_mikke555/n/needbae4bcabe Studio on_site https://www.studioon.site/ ・Digital Design Supervision for Expo 2025 Shinkogeisha https://www.shinkogeisha.com/ [Action Panel] Arts, Culture and Sports [SDGs]"
1-3-4,1,1-3,23,"Promote the spread of entertainment spaces that allow people to feel empathy and a sense of connection through Inochi, by utilizing relocatable and adaptable facilities. ABBA Arena, London 2022 The Rady Shell, San Diego 2021"
2-1-1,2,2-1,25,"Return to the dignity of Inochi, seek to understand what is happening in the world, and take action to create a world where every person is valued and can live peacefully and without fear. Support activities for realizing security, photo: Kenshiro Imamura / JICA Countries where armed conflicts involving the government as a party have occurred"
2-1-2,2,2-1,26,"To reclaim the future of children robbed by conflict, supporting the reintegration of former child soldiers and undertaking landmine clearance to build a peaceful society."
2-1-3,2,2-1,27,Go beyond support for victims of conflict and expand empowerment for youth who once took up arms to dismantle the cycle of hatred persisting across the globe. Former child soldiers undergoing vocational training in northern Uganda The work of international NGOs in landmine clearance in Cambodia
2-2-1,2,2-2,29,"Protect civic space that forms the foundation of open and democratic societies, enabling citizens to freely speak, act, and participate. Declaration 2-2 Establish mechanisms that foster mutual trust among citizens, ensuring a society where everyone can freely express opinions and actively participate. CIVICUS Monitor 2024"
2-2-2,2,2-2,30,"Gather ideas for building a better society by combining online tools with face-to-face di- alogues. Together, we can reflect on Inochi with people across the globe and co-create a new future. Accumulate various ideas in Decidim Deepening discussions by referring to Decidim ideas during face-to-face workshops (Kakogawa, Hyogo)"
2-2-3,2,2-2,31,"Create a society where mutual trust is possible both online and offline. To achieve this, we must leverage digital technologies that prevent identity fraud and enable secure communi- cation. access to information From the “Bond Inochi” perspective: ●Building new communities by organically integrating online and offline dialogue ●Creating spaces that foster intergenerational and interre- gional conversations ●Realizing novel collaborations that connect citizens, gov- ernments, and multistakeholders Looking beyond SDGs, there is a pressing need to create cross-regional networks of community-based Inochi wisdom on a global scale. Decidim can serve as the digital archive in- frastructure for such an initiative. It also supports the United Nations’ concept of “Digital Public Goods” and contributes to the establishment of digital commons—where intergener- ational and interregional knowledge and experience can be shared universally through accessible digital tools. The Inochi Forum will continue working with diverse or- ganizations to expand the potential of civic tech, while preserving these collaborative efforts as a living record of action toward a more inclusive future. [References] ・Decidim https://www.decidim.barcelona/ ・Barcelona Decidim https://www.decidim.barcelona/ ・NYC Civic Engagement Commission https://www.participate.nyc.gov/ ・Citizen Participatory Consensus Platform, Kakogawa City https://kakogawa.diycities.jp/ ・Inochi Forum Decidim https://inochi-forum.makeour.city/ ・United Nations Secretary-General’s Roadmap for Digital Coop- eration https://www.un.org/en/content/digital-cooperation-roadmap/ [Action Platform] SDGs+Beyond [SDGs] Source: ITOCHU Techno-Solutions Corporation"
2-3-1,2,2-3,33,"Rather than preparing solely for emergencies, transform our legal systems into “phase-free legal frameworks” by integrating disaster preparedness into ordinary-time regulations. Declaration 2-3 Develop disaster-prevention systems that function effectively in both normal times and emergencies. Diagram: Structural reasons for disorganized disaster victim support — based on Sugano, 2021 In May 2025, the Act Partially Amending the Basic Act on Disaster Management and Related Legislation was enacted. This law introduced a registration system for “Disaster Victim Assistance Support Organizations,” enabling specialized civil organizations to autonomously participate in disaster response. Furthermore, in order to strengthen support for older persons and persons with disabilities, the provision of welfare services was formally integrated into the disaster response framework. Through this amendment, the government has begun addressing Challenges 1 and 2."
2-3-2,2,2-3,34,"Build a resilient and inclusive society through diversity-driven innovation by bridging the blind spots of disaster resilience—religious institutions, science and technology, and local governments. tial for building communities of mutual support, The Inochi Forum will work with diverse organizations, including pri- vate enterprises and third-sector organizations, to establish and promote phase-free systems nationwide by 2030. [References] ・Phase Free Association https://phasefree.or.jp ・Sugano, Taku (2021). Disaster Response Governance: Stopping the Chaos in Victim Support. Nakanishiya Publishing [Action Platform] Urban Development and Disaster Prevention [SDGs] Respect-Relief Map https://map.respect-relief.net/"
2-3-3,2,2-3,35,"Build disaster-resilient communities and campuses that utilize university spaces to support disaster victims collectively and reconnect the “world of the heart” and the “real world.” ples include ICT-based shelter management systems, re- al-time evacuation alerts, and digital volunteer coordination platforms. These tools allow for not just Technology-Driven Innovation (TDI), but also Diversity-Driven Innovation (DDI) where various actors collaborate to generate shared social values such as altruism, mutual support, and coexistence. In times of disaster, religious institutions can serve not only as shelters but also as temporary shelters for stranded indi- viduals and as facilities for dignified care of the deceased. In Tokyo, religious sites are already being used to host strand- ed commuters, and similar initiatives should be expanded nationwide. By strengthening partnerships among religious institutions, science and technology sectors, and local gov- ernments, we can enhance the overall disaster prepared- ness of society. Moreover, by improving monitoring and support systems during ordinary times, we can contribute to everyday safety and well-being—not just during crises. Moving forward, it is essential to build deeper collabora- tions between local governments and religious institutions, while also accelerating the adoption of technology-based disaster preparedness systems. By bringing together diverse stakeholders, we can foster a spirit of mutual aid not only during emergencies but also in daily life. Through intentional collaboration among religious institutions, science and technology, and local governance— and by embracing the principles of Diversity-Driven Inno- vation (DDI)—we can establish more effective and inclusive disaster preparedness systems and realize a resilient, inclu- sive society. Let us leverage the strengths of each actor and work together to create communities where all people can live with safety and peace of mind. The Inochi Forum will continue to promote collaboration between religious institutions, science and technology, and local governments—grounded in the principles of Diver- sity-Driven Innovation—while working alongside a wide range of partners and initiatives. [References] ・Future Symbiotic Disaster Relief Map (Respect Map) https://map.respect-relief.net/ ・Disaster Risk Reduction through Community Resources and Science and Technology – SSI https://www.ssi.osaka-u.ac.jp/activity/joint/disasterprevention/ ・Regional Information and Communication Co-Creation Center (RICCC) https://riccc.or.jp/ ・Inaba, Y. & Kawabata, R. (2025). “Disaster Cooperation between Local Governments and Religious Institutions: National Survey of Basic Local Governments, FY2024,” Religion and Social Con- tribution, 15(1), pp.1–22. https://ir.library.osaka-u.ac.jp/repo/ouka/all/100624/ [Action Platform] Urban Development and Disaster Prevention [SDGs] Constitution of the “World of Inochi”"
2-4-1,2,2-4,37,"Build a shared urban data platform (Digital Twin Platform), and through its utilization and system integration, realize decarbonization, zero waste, and disaster resilience—transform- ing cities into safe and sustainable environments. Declaration 2-4 Establish sustainable systems for resource recycling and energy circulation to protect the Earth’s environment. Urban Digital Twin Platform"
2-4-2,2,2-4,38,"Protect everyone’s “Inochi Water” together, for the benefit of all. Let us pass on to the future the traditional systems and infrastructure that skillfully utilize nature’s blessings—rainwater that permeates the soil and flows through rivers and underground channels."
2-4-3,2,2-4,39,"Transform plastics into materials that can be recycled repeatedly—never becoming waste but returning once more to plastic. Through this, we can protect and circulate vital resourc- es and build a sustainable society. tal load this may entail. These include physical structures like reservoirs, dams, canals, weirs, floodgates, pumps, water purification and wastewater treatment plants, levees, and retention basins. These are known as “infrastructure” because they lie beneath our everyday awareness. In addition to built infrastructure, natural ecosystems such as rivers, groundwater, forests, lakes, and wetlands—and even man-made ecosystems like paddy fields and farmlands—store water, regulate its flow, and purify its quality. Organizations within each community, as well as us who maintain and manage both natural and man-made systems, are integral components of the mechanisms that ensure the steady blessings of water. These tangible and intangible systems that support our rich, safe, and healthy lives can be collectively referred to as “Water Infrastructure of All, by All, for All,” or “Minfra” (short for Minna no Infra, meaning “everyone’s infrastructure”). However, the future of “Water Minfra” faces challenges— aging facilities due to population decline, weakening of community organizations, insufficient revenue from service charges, and new pressures from climate change and social transformation. In response, the Tokyo Foundation for Policy Research launched the “Future Vision for Sustainable Water Man- agement” program to analyze the current state of water in Japan, formulate long-term visions, and provide policy recommendations for building sustainable communities through water. Although water is a shared natural resource, the stable and safe supply of clean water is made possible only through the “Water Minfra” that communities have cul- tivated and protected over generations. Expanding aware- ness of such shared infrastructure—composed of people, organizations, nature, and technology, not only for water but for food, energy, education, healthcare, administration, public safety, and financial systems—will be vital for build- ing a sustainable society. Guided by this vision, the Inochi Forum will continue to promote the concept of “Water Minfra” worldwide, working toward a future where everyone protects everyone’s “Inochi Water” together. [References] ・Tokyo Foundation for Policy Research: Water Minfra—A New Strategy for Water-Centered Infrastructure https://www.tkfd.or.jp/research/detail.php?id=4388 ・Oki et al. (2024), “Water infrastructure of all, by all, for all,” Na- ture Water https://www.nature.com/articles/s44221-024-00338-y [Action Platform] SDGs+Beyond [SDGs] Image of “Water Minfra” by SEKI Mihoko"
2-4-4,2,2-4,41,"Zero Waste Will Save the Earth. Let’s build a sustainable system for protecting Inochi. To achieve this, empathy as global citizens is indispensable. Success in reducing everyday waste provides powerful insights for global sustainability. The Paris Agreement, adopted in 2015, set a target to “pursue efforts to limit the temperature increase to 1.5°C” in order to protect the Earth’s ecosystems. However, at COP28, held last year, it was reported that there remains a significant gap between current progress and this goal. Can the 1.5°C target truly be achieved? One particularly striking graph sheds light on this question. This graph, showing the trend in municipal waste in Osaka City, illustrates two key developments: 1. Following World War II, shifts in lifestyle toward mass consumption and disposal led to a fivefold increase in waste—from 400,000 tons in 1955 to 2.2 million tons in 1991. 2.Since that peak, however, waste has been reduced by 60%, reaching approximately 900,000 tons today. Prior to the era of rapid economic growth, people in Ja- pan lived in resource-circulating ways—for instance, food leftovers were repurposed as livestock feed, and tofu was purchased using reusable pots. The dramatic decline in waste volume demonstrates that it can be done. The num- ber of incineration plants in Osaka decreased from 10 to 6, resulting in cumulative savings of over 150 billion yen. This stands as a prime example of harmonizing environmental and economic goals. What made this reduction possible? The answer lies in waste separation, and more importantly, the empathy culti- vated within local communities that enabled such behavior. Two initiatives exemplify this: ●Community Collection of Used Paper and Clothing ●PET Bottle Recycling Project Connecting Everyone In these programs, residents go the extra mile—removing labels and washing bottles—to transform used paper and PET bottles into valuable resources. The rewards are then reinvested in local welfare efforts, such as supporting iso- lated elderly individuals or providing meals at community cafés for children. These daily actions, undertaken with em- pathy and ownership, exemplify the integrated vision of en- vironmental, economic, and social sustainability pursued by the SDGs. Similarly, the plastic bag fee introduced in 2020 gained public acceptance due to widespread empathy— sparked by images of sea turtles and seabirds harmed by plastic waste—encouraging more people to carry eco-bags. Such successes inspire hope for zero waste and meeting the 1.5°C goal. Addressing environmental issues requires systems that internalize externalities, making environmentally friendly actions also financially beneficial to individuals and busi- Exclusive Identity Empathetic Identity Source: “FY2023 Osaka City Environmental Bureau Project Overview” Chapter 4, Section 2: Municipal Waste Management Top panel: Image of Exclusive. Bottom panel: Empathetic Identity"
2-4-5,2,2-4,42,"The proper circulation of nitrogen—source of all Inochi—nurtures healthy soil and water, thriving grass and cattle, and delicious milk. Leverage technology to recycle “poop” and contribute to solving the global nitrogen crisis."
2-5-1,2,2-5,44,"Promote future medicine through enhanced resilience in medicine, and realize a future so- ciety in which every Inochi unleashes its radiant light and no one is left behind. Declaration 2-5 Leverage advanced technologies to realize life care that attends closely to indi- viduals and families. Future Medicine Promotion Organization / Nakanoshima Qross (NQ)"
2-5-2,2,2-5,45,"Utilize science and technology to advance personalized health management and respect for diversity, realizing a future where every person protects, nurtures, and feels Inochi. [References] ・Future Medicine Promotion Organization / Nakanoshima Qross (NQ): https://www.nakanoshima-qross.jp/ [Action Platform] Medical and Welfare [SDGs] An image of personalized care utilising science and technology"
2-5-3,2,2-5,46,Utilize psychological approaches to heal trauma and unlock latent human potential—so that individuals may rediscover their inherent capacity and create innovation. A society realized through AI counselling
2-5-4,2,2-5,47,"By integrating healthcare and welfare data and leveraging technologies such as AI, we can deliver personalized care and preventive solutions tailored to each individual’s way of life, needs, and values. staff, and students make use of these services. For example, a researcher who was generally well-adjusted but tended to give up when facing difficult problems came to the center for counseling. As a result, they were able to confront those challenges without hesitation. Similarly, students who had struggled to attend university because of trauma were able to overcome school refusal after engaging with counseling services at the center. The impact of trauma-healing counseling can be summa- rized in two main effects: 1. Improved communication skills 2. A renewed sense of confidence These outcomes raise self-esteem and enable individuals to express their latent abilities, thereby enhancing their ca- pacity to generate innovation. In order to expand the use of such psychological approaches and reinvigorate society, it is essential to cultivate counselors with advanced skills. To this end, The University of Osaka launched a project in FY2024 exploring whether counseling skills can be en- hanced using AI and image-based diagnostics. The project begins with analyzing what constitutes advanced counsel- ing techniques. This includes recording counseling sessions while simultaneously monitoring body temperature, heart rate, and brainwave activity to gather data for analyzing trauma healing processes. By using machine learning to study dialogue content, the project seeks to identify pat- terns and cues for trauma recovery—and possibly develop AI-based counseling methods. All of these measurements and AI capabilities are made possible by advances in semi- conductor technology. The Inochi Forum will collaborate in these kinds of projects and promote the use of psychological approaches to heal trauma and awaken latent potential—while also supporting advancements in semiconductor technologies. [References] ・The University of Osaka, Faculty/Graduate School of Engineer- ing – Resilience Support & Training Center http://www.juf.eng.osaka-u.ac.jp/resilience/index.htm ・Activating Creativity through Psychological Approaches https://www.eng.osaka-u.ac.jp/prospective/introduction-re- search/550/ [Action Platform] Education and Children [SDGs]"
2-5-5,2,2-5,48,"Create systems that listen to and engage with the thoughts and voices of those living with diseases that still lack effective treatments, working together toward solutions rooted in empathy and shared determination. Image of the new AI prediction model (CHR)"
3-1-1,2,3-1,50,"To protect Inochi, let us provide education that places well-being at its core—so that every per- son, regardless of gender, can live authentically and build equal and respectful relationships. 3 Nurture Inochi Plan International is an international NGO dedicated to supporting girls and women"
3-1-2,3,3-1,51,"Ensure that all people—especially women—have access to education, to build a world where every person can live in safety and dignity, and to break the cycle of poverty. Supporting education by enabling women to work, such as through bread-baking"
3-1-3,3,3-1,52,"Break the cycle of poverty through education, eliminate discrimination and inequality, and ensure that everyone can live in safety. A girl who participated in a programming class in Kenya expresses her gratitude to the staff A female pupil taking a programming test at a primary school in Basra, Iraq"
3-1-4,3,3-1,53,"By combining digital education with personalized support, break the cycle of poverty and create a “cycle of hope” for children facing adversity. Digital and career education for children facing difficulties"
3-2-1,3,3-2,55,"Create a society where the voices of children are respected, where they can engage in democratic dialogue—among themselves and with adults—and where we foster the next generation of adults capable of sustaining such a society. Undergraduate and postgraduate students engaged in discussion High school students engaged in debate and the postgraduate students supporting them"
3-2-2,3,3-2,56,Expand educational initiatives within schools that empower children to envision a future for themselves and society—so that they can act to protect and value not only their own Inochi but also that of others. Child Abuse (Osaka) Absenteeism (Elementary school) Compiled by the Osaka Prefectural Education Office from a survey by the Ministry of Education.
3-2-3,3,3-2,58,"It is time to create new ways for children and young people to share their ideas about how to be healthy and happy despite the threat and impact of disasters. By working together and contributing to solutions, they can be empowered to face disaster challenges and be part of a global effort to increase disaster resilience."
3-2-4,3,3-2,59,"Build a society in which the next generation can envision the possibilities of the future and, through their own actions, choose and shape that future. Future generations will shape their own futures."
3-2-5,3,3-2,60,"By encountering the pure and genuine feelings of children, learn that kindness can arise spontaneously, and build a society where every person’s conscience can be fully expressed, where all Inochi is nurtured, and where we sustain each other’s lives."
3-3-1,3,3-3,62,"“Shopping is voting.” Create a society where everyone can easily make choices that lead to happiness for the future by providing clear, citizen-centered information—transforming both lifestyles and social systems. Image of the sustainable consumption and production cycle"
3-3-2,3,3-3,63,"Realize a sustainable socio-economic system of Sanpo-Yoshi—beneficial for the seller, the buyer, and society—by fostering a virtuous cycle through individuals selecting companies based on ESG information that reflects corporate social value, in their roles as workers, in- vestors, and consumers. Together with diverse organizations, the Inochi Forum will promote the spirit of “shopping is voting” by creating and delivering accessible information that helps make ethical and sustainable choices easier for everyone. [Notes] *1 Environmental Citizens Organization: https://kankyoshimin.org *2 Green Consumer Activities: https://kankyoshimin.org/activity/life-style/green-consumer/ activity-56/ *3 CSR Research Projects by Citizens: https://kankyoshimin.org/jizoku-selfcheck/ *4 Citizen Network for Sustainable Consumption: https://cnrc.jp *5 Ethical Corporate Scorecard: https://cnrc.jp/works/business-ethical-rating/ *6 Green & Choices (Guricho): https://guricho.net [Action Platform] Economy, Employment, and Poverty [SDGs]"
3-3-3,3,3-3,64,"Dress to protect every Inochi on Earth. Choose fashion that weaves a future through re- sponsible production and consumption. oping an application called the “Sustaina App” to facilitate ESG comparisons. This app assigns scores to corporate ef- forts across categories such as environmental performance, human rights, social contributions, animal welfare, and gov- ernance. It is designed to support stakeholders—consum- ers, job seekers, etc.—in making informed decisions about where to buy or work. The project is currently engaging not only publicly listed companies, which are leading ESG disclosure, but also reaching out to unlisted companies. The project advocates for pricing things of value appropri- ately, based on evaluations and support from stakeholders. While improving ESG performance involves costs, these costs—when they represent true value—should rightly be re- flected in prices. Even after Japan’s so-called “Lost 30 Years,” the economy still suffers from unpaid or excessive services and low wages, with valuable things remaining undervalued. A particularly urgent issue is increasing wages, which fall un- der the “Social” category of ESG—that is, assigning proper value to labor. To achieve this, all industries must be able to fully incorporate ESG-related value into the pricing of their goods and services. This requires the empathy and coop- eration of all stakeholders—not only corporations, but also consumers, investors, and workers. Based on this vision, the project will intensify its outreach efforts based on this vision. We aim to further develop and disseminate the “Sustaina App” by leveraging AI for data col- lection, creating spaces such as workshops and interactive events, collaborating with other organizations involved in the Inochi Forum, and engaging in joint research with companies. The Inochi Forum, together with this project, will develop methods that enable workers, investors, and consumers to select companies based on ESG information and to es- tablish ESG-conscious lifestyles. Through this, we seek to build a sound cycle of value creation based on Sanpo-Yoshi, where companies generate added value in a virtuous and sustainable economy that benefits all. [References] ・The University of Osaka Social Solution Initiative Core Project: “Realization of an Empathetic Economy through the Promotion of Stakeholder-ESG management, Ethical Consumption and Sustainable Procurement” https://www.ssi.osaka-u.ac.jp/activity/core/empathyeconomy/ [Action Platform] Economy, Employment and Poverty [SDGs] A workshop in Dominican Republic"
