page,near_item,url
95,4-4-1,https://www.jica.go.jp/jica_ri/publication/booksandre-
95,4-4-1,https://www.jica.go.jp/jica_ri/research/partner/1515822_24130
95,4-4-1,https://chiikijunkan.env.go.jp/
95,4-4-1,https://local-sdgs.jp/?lang=ja
95,4-4-1,https://platform-clover.net/
95,4-4-1,https://www.chisou.go.jp/tiiki/kankyo/index.html
95,4-4-1,https://www.sdgs-japan.net/
95,4-4-1,https://www.jica.go.jp/jica_ri/index.html
96,4-4-2,https://ssir-j.org/networks_as_a_way_to_solve_wicked_prob-
97,4-4-4,https://www.unesco.org/en/legal-affairs/unesco-univer-
97,4-4-4,https://community-based.org/statement/
97,4-4-4,https://www.city.kyoto.lg.jp/sankan/page/0000241891.html
97,4-4-4,https://www.city.kyoto.lg.jp/sankan/page/0000249106.html
97,4-4-4,https://journey.release.world/en/in-interconnected-arts-japan
98,4-4-4,https://www.future-asia.or.jp/
98,4-4-4,http://www.o-forest.org/
98,4-4-4,https://munokai.com/
98,4-4-4,https://umine-llc.com/
100,4-5-1,https://www.genevaenvironmentnetwork.org/resources/up-
100,4-5-1,https://www.un.org/sg/en/content/sg/speeches/1999-02-01/
100,4-5-1,https://www.weforum.org/stories/2019/12/davos-man-
100,4-5-1,https://www.mofa.go.jp/mofaj/files/100104121.pdf
100,4-5-1,https://www.caa.go.jp/consumers/consumer_oriented_man-
101,4-5-2,https://www.doyukai.or.jp/newsrelease/2023/kyojo.html
101,4-5-2,https://www.aspeninstitute.jp/
102,4-5-3,https://readyfor.jp/
103,4-5-5,https://www.link-ss.co.jp/human-rights/
104,4-5-5,https://emerging-future.org/
104,4-5-5,https://esse-sense.com/
105,4-5-6,https://www-pref-osaka-lg-jp-e.athp.transer.com/kenkou-
105,4-5-6,https://www-pref-osaka-lg-jp-e.athp.transer.com/o090060/
105,4-5-6,https://www.mhlw.go.jp/content/11704000/001087755.pdf
105,4-5-6,https://www.pref.osaka.lg.jp/documents/5874/gyofukuk-
105,4-5-6,https://www.pref.osaka.lg.jp/documents/5874/heartfulchirasi
105,4-5-6,https://www.city.fuji.shizuoka.jp/kurashi/c0606/universal_
105,4-5-6,https://www.social-firm.metro.tokyo.jp/
105,4-5-6,http://www.l-challenge.com/
105,4-5-6,https://wep-npo.com/
107,4-6-1,https://c-chinju.org/
107,4-6-1,https://ifohs.kyoto-u.ac.jp/
108,4-6-2,https://www.caguya.co.jp/
110,4-6-4,https://santome-community.com/
110,4-6-4,https://esd-place.org/
111,4-6-5,https://kikaireefs.org
111,4-6-5,https://www.chikyu.ac.jp/rihn/activities/project/detail/26
111,4-6-5,https://www.sci.hokudai.ac.jp/grp/crees/CREES-web
113,4-6-6,http://www.meti.go.jp/policy/intellectual_assets/pdf/InterimRe-
113,4-6-6,https://www.meti.go.jp/policy/intellectual_assets/pdf/2-guide-
113,4-6-6,https://integratedreporting.org/resource/international-ir-frame-
113,4-6-6,https://ednasociety.org/
115,5-1-1,https://switch.bio/
115,5-1-1,https://www.wwf.or.jp/
115,5-1-1,https://cococolor-earth.com/
116,5-1-2,https://openknowledge.fao.org/items/ebe19244-9611-443c-
116,5-1-2,https://www.maff.go.jp/j/press/shokuhin/recycle/attach/
116,5-1-2,https://www.undp.org/ja/japan
116,5-1-2,https://jocr.jp/raditopi/2025/06/27/640037/?detail-page=1
116,5-1-2,https://www.undp.org/ja/japan/news/harmony-with-nature-lo-
116,5-1-2,https://www.undp.org/ja/japan/blog/comdeks-phase-4-knowl-
116,5-1-2,https://www.undp.org/ukraine/soul-of-soil-2
117,5-1-3,https://www.ipcc.ch/sr15/chapter/spm/
117,5-1-3,https://www.env.go.jp/earth/ondanka/keikaku/211022.html
117,5-1-3,https://www.env.go.jp/earth/ondanka/keikaku/chokisenryaku
117,5-1-3,https://www.rite.or.jp/system/research/edits/
118,5-1-4,https://www.unep-sustainability-action.org/
120,5-2-2,https://www.sdgsgtp.com/
121,5-2-3,https://imacocollabo.or.jp/2030sdgs/
121,5-2-3,https://sdgslocal.jp/
121,5-2-3,https://issueplusdesign.jp/fusuigai24/
121,5-2-3,https://www.thinktheearth.net/sdgs/
121,5-2-3,https://comcop.jp/
121,5-2-3,https://issueplusdesign.jp/dementia_world/
121,5-2-3,https://issueplusdesign.jp/climatechange/college/
121,5-2-3,https://www.projectdesign.co.jp/2050-carbon-neutral/
121,5-2-3,https://www.projectdesign.co.jp/moritomirai/
121,5-2-3,https://sangoquest.com/
121,5-2-3,https://readyfor.jp/projects/118551
121,5-2-3,https://readyfor.jp/projects/tsui-tsui-card
122,5-2-4,https://www.crossfields.jp/pressrelease/steam-library
122,5-2-4,https://www.crossfields.jp/pressrelease/mitsui-program
122,5-2-4,https://www.crossfields.jp/pressrelease/vr-e-learning
123,5-2-4,https://expo2025future-of-life.com/
123,5-2-4,https://avatar-ss.org/
123,5-2-4,https://avita.co.jp/
125,5-3-1,https://www.nature.com/articles/s41467-023-39810-w
125,5-3-1,https://www.omron.com/jp/ja/about/corporate/vision/sinic/
125,5-3-1,https://youtu.be/oZ-KyYnQhPw?feature=shared
125,5-3-1,https://opac.ll.chiba-u.jp/da/curator/900040690/42imamichi
126,5-3-2,https://ssrn.com/abstract=4904455
126,5-3-2,http://dx.doi.org/10.2139/
128,5-3-4,https://kyotostyle.jp/kyotoryu/
128,5-3-4,https://www.zebrasand.co.jp/3565
128,5-3-4,https://www.ueda-h.co.jp/
129,5-3-4,https://www.nii.ac.jp/news/release/2024/1128.html
129,5-3-4,https://niadqe.jp/information/higher-education-degree-2/
129,5-3-4,https://sidi-hub.community/
129,5-3-4,https://trustedweb.go.jp/
130,5-3-5,https://food.climate.columbia.edu/
131,5-3-6,https://www.kantei.go.jp/jp/singi/sdgs/entakukaigi_dai19/siry-
133,5-4-1,https://sphere.blue/
133,5-4-1,https://uoc.world/mandala/details/?id=06Qb0V1v632
134,5-4-2,https://www.faraday.cam.ac.uk/
135,5-4-3,https://www.ssi.osaka-u.ac.jp/
135,5-4-3,https://inochi-forum.org/action-panel/
135,5-4-3,https://ou-sdgs.celas.osaka-u.ac.jp/
136,5-4-4,https://co-being.jp/expo2025/
136,5-4-4,https://www.expo2025.or.jp/news/news-20250217-05/
138,5-4-5,https://ikujiro-nonaka.institute/
138,5-4-5,https://www.ics.hub.hit-u.ac.jp/jp/faculty/profile/nonaka_ikujiro
138,5-4-5,https://nonaka-ik.org/
138,5-4-5,https://www.eisai.co.jp/hhc/activity/index.html
