file,year,page,role,topic,money_yen,why_spoke,text_excerpt
R3-6kaigiroku,2021,9,総務課長 (General Affairs Chief),◎議案第２１号御杖村固定資産評価審査委員会条例の,,explaining,ご説明申し上げます。先ず、改正の概要でございますが、総務省から示 された標準例に加えまして、内閣府が作成いたしました地方公共団体における押印見直しマニュ アルこれに沿って押印規定の見直しを行うものでございます。具体的には、第４条第４項の削除と 第８条第５項の改正につきましては、審査申出者や関係人の負担軽減を図るため、書面への押印 等を不要とするもので、総務省の標準例に沿った改正でございます。また、第７条第３項及び第８ 条第８項以降の改正につきましては、委員会が作成する調書等に関して、委員や書記の署名押 印が必要と規定しているものにつきまして、押印を不要とするもので、国のマニュアルに沿った改 正
R3-6kaigiroku,2021,14,総務課長 (General Affairs Chief),◎報告第１号令和２年度御杖村一般会計繰越明許費繰越計算書,,other/responding,それでは、議案の裏面をご覧ください。繰越計算書を付けております。令 和２年度一般会計の繰越明許費が確定しましたので、報告をさせていただきます。３月定例会の 一般会計補正予算でご承認をいただいた繰越明許費のうち、５つの事業を繰り越すこととなりまし たので報告をさせていただきます。まず、地域振興券交付事業についてでございますが、券の利 用期間が３月末であり換金の一部が４月以降になることから繰り越したものでございます。現在は 換金精算を終えております。次、新型コロナウイルスワクチン接種体制確保事業でございますが、 －14－ 事業の執行が４月以降となるため、全額を繰り越したもので、現在、村民への接種を
R3-9kaigiroku,2021,9,総務課長 (General Affairs Chief),◎議案第２８号御杖村個人情報保護条例の一部を改正する条例の,,explaining,はい。ご説明申し上げます。平成１５年に制定されました、行政機関の保 有する個人情報の保護に関する法律が個人情報の保護に関する法律に統合されることとなります が、本条例の第２条第１号で引用していることから、統合後の法律名称及び条項に改めるものでご ざいます。また、行政手続における特定の個人を識別する番号の利用等に関する法律で規定し ております情報提供ネットワークシステムの設置者が、総務大臣から内閣総理大臣に改められた ことに伴いまして、条例の中で規定しております箇所を改正するものでございます。以上の改正を 行いまして、公布の日から施行したいと思います。ご審議のほど、よろしくお願いいたします。
R4-12kaigiroku,2022,12,総務課長 (General Affairs Chief),◎議案第２８号御杖村公告式条例の一部を改正する条例の制定,,explaining,はい、議長。主な改正点についてご説明申し上げます。先ず、第２条第２ 項につきましては、条例の公布方法について定めているものでございますが、村内各大字の掲示 場４ヵ所への掲示を基本とし、村のホームページへの掲載についても可能とするもので文言の追  －12－ 加をしております。第３条及び第４条につきましては、本村の押印見直し方針に沿って改正するも のでございます。第３条では、これまで、規則の公布の際には、条例と同様に村長の署名が必要と していましたが、これを記名というものに改めるものでございます。第４条につきましては、規程の 公表について、村長の記名と印が必要としていましたが、これを記名のみとする
R4-12kaigiroku,2022,13,総務課長 (General Affairs Chief),◎議案第２９号御杖村議会議員及び御杖村長の選挙における選挙,7,explaining,はい、それでは、改正内容についてご説明申し上げます。お手元の議案 書をご覧いただきたいと思います。先ず、第４条第２号アは、選挙運動用自動車を借り入れた場合 の１日の金額の公営負担上限額を定めているものですが、１万５千８百円を１万６千百円に改める ものでございます。また、同号のイでは、選挙運動用の自動車の燃料について定めているもので ございますが、１日当たり７千５百６拾円を７千７百円に増額しています。第９条及び第１０条につき  －13－ ましては、ビラの作成の公費負担についてその支払方法と上限額を定めているものでございます が、１枚当たり、７円５拾１銭を７円７拾７銭に増額をするものでございます。
R4-12kaigiroku,2022,14,総務課長 (General Affairs Chief),◎議案第３０号御杖村議会議員の議員報酬等に関する条例の,,explaining,はい、議長。改正内容について、ご説明いたします。国家公務員特別職 の給与改定では、期末手当の年間支給月数を３．２５月から３．３０月へ、０．０５月分引き上げられ ましたことから、それに準じて改定をおこなうものでございます。議案改正文のほう、条例第７条第 ２項では、６月と１２月の期別ごとの支給月数を定めているものでございますが、改正条例第１条に よりまして、１００分の１６２．５を一旦１６７．５に改定することによりまして、令和４年度全体の支給月 数を０．０５引き上げ、国と同様年間３．３０月とするものでございます。また、改正条例第２条につき ましては、令和５年度以降の支給月数を定めるものでございますが
R4-12kaigiroku,2022,14,総務課長 (General Affairs Chief),◎議案第３１号特別職の職員で常勤のものの給与及び旅費に,,explaining,はい、議長。改正の内容について、ご説明申し上げます。先程の議案第 ３０号と同様の説明となりますが、国家公務員特別職の給与改定に準じて、本村特別職の期末手 当年間支給月数を３．２５月から３．３０月へ、０．０５月分引き上げるものでございます。条例第６条 の期別ごとの支給月数を１００分の１６７．５に改定することにより、令和４年度全体の支給月数を ０．０５引き上げ、年間３．３０月とします。また、改正条例第２条では、１００分の１６５とすることによ り、年間支給月数を３．３０月とするものでございます。なお、附則の第２条の規定によりまして、差 額として追加支給することとなります。ご審議の程、よろしくお願い致
R4-12kaigiroku,2022,15,総務課長 (General Affairs Chief),◎議案第３２号一般職の職員の給与に関する条例の一部を,4000,explaining,はい。それでは、改正の内容について、ご説明申し上げます。本村一般 職の職員の月例給及び勤勉手当について改定をおこなうものでございます。先ず勤勉手当につ いてですが、第１６条第２項第１号では、６月と１２月における期別の支給月数を定めております が、条文に１２月に支給する場合においては１００分の１０５の文言を加えることにより、令和４年度 全体の勤勉手当の支給月数を０．１引き上げ、年間の支給月数を２．０月とするものでございます。 同項第２号では、再任用職員の勤勉手当について定めているものでございますが、１２月に支給 する場合においては１００分の５０の文言を加えることにより、年間支給月数を０．０５引き
R4-12kaigiroku,2022,16,総務課長 (General Affairs Chief),◎議案第３３号御杖村フルタイム会計年度任用職員の給与に,,explaining,はい、議長。改正内容について、ご説明を申し上げます。フルタイム会計 年度任用職員の給与につきましては、一般職職員の規定に準じ定めているものでございますが、 今回の人事院勧告に沿った内容につきましては、令和４年度内の適用は行わず、令和５年４月１ 日から適用するものでございます。従いまして、改正文第１条における勤勉手当の支給月数は、 現行と変わらず１００分の９５とするものでございます。これを踏まえまして、改正文第２条では、第１ ５条第１項後段を削るの規定を適用することによりまして、令和５年４月１日からは、一般職と同様 に、勤勉手当の年間支給月数が、２．０月ということになります。月例給についても、人
R4-3kaigiroku,2022,9,総務課長 (General Affairs Chief),◎議案第１号御杖村議会議員の議員報酬等に関する,,explaining,はい、議長。それではご説明申し上げます。昨年の８月、国家公務員一 般職の期末手当引き下げについての人事院勧告が行われました訳でございますが、国による改 定は見送られてきました。今般、その勧告に基づいた国家公務員特別職の給与が改定される予 定でありますことから、それに準じ、本村議員の報酬条例について改正を行うものでございます。 改正の内容ですが、期末手当の年間支給月数を３．３５月から３．２５月へ、０．１月分引き下げを 行うものでございます。議案書の裏面の方に記載しております。第７条第２項で規定する期別の支 給率では、１００分の１６２．５となります。また、附則におきまして、一般職の職員の例によりま
R4-3kaigiroku,2022,9,総務課長 (General Affairs Chief),◎議案第２号特別職の職員で常勤のものの給与及び旅費に,,other/responding,議長。
R4-3kaigiroku,2022,9,総務課長 (General Affairs Chief),◎議案第２号特別職の職員で常勤のものの給与及び旅費に,,explaining,それでは、ご説明申し上げます。昨年の人事院勧告に基づきまして、国 家公務員一般職の給与改定に沿って、国家公務員特別職の給与を改定する法律が改正される 予定でありますことから、それに準じて、本村常勤特別職の給与についても改定を行うものでご ざいます。改定の内容ですが、議案の裏面をご覧ください。議員報酬の改正と同様でございま す。期末手当の年間支給月数が３．３５月から３．２５月へ、０．１月分引き下げを行うものでござい まして、第６条で規定します期別の支給率では、１００分の１６２．５ということになります。また、昨 年度分の支給に遡及することも同様でございまして、昨年度の引き下げ見合い分を令和４年の６
R4-3kaigiroku,2022,10,総務課長 (General Affairs Chief),◎議案第３号一般職の職員の給与に関する条例の一部を改正,,explaining,はい。ご説明申し上げます。昨年の人事院勧告に基づきまして、今般、 国家公務員一般職の給与改定が行われますので、それに準じまして、本村一般職の給与につ いても改定を行うものでございます。改正の内容ですが、期末手当の年間支給月数を２．５５月 から２．４０月へ、０．１５月分引き下げを行うものでございます。議案書の裏面をご覧ください。ま た再任用職員については、１．４５月から１．３５月へ０．１月分の引き下げとなります。第１５条で規 定する期別の支給率では、１００分の１２０、再任用職員は１００分の６７．５となります。なお、昨年 度分の支給に遡及させるため、附則第２項で、昨年度の引き下げ見合い分０．１５月
R4-3kaigiroku,2022,11,総務課長 (General Affairs Chief),◎議案第４号御杖村パートタイム会計年度任用職員の報酬、,,explaining,はい。ご説明申し上げます。人事院勧告に基づく本村一般職の給与改 定に準じまして、パートタイム会計年度任用職員についても改定を行うものでございます。改正 の内容ですが、期末手当の年間支給月数を２．５５月から２．４０月へ、０．１５月分引き下げを行う ものでございます。議案書裏面をご覧ください。第７条で規定します期別の支給率では、１００分 の１２０となります。なお、昨年度分の支給に遡及させるため、附則第２項で、昨年度の引き下げ 見合い分を令和４年の６月支給分から更に減額するとしています。以上でございます。
R4-3kaigiroku,2022,12,総務課長 (General Affairs Chief),◎議案第５号特別職の職員で非常勤のものの報酬等に関する,,other/responding,議長。
R4-3kaigiroku,2022,12,総務課長 (General Affairs Chief),◎議案第５号特別職の職員で非常勤のものの報酬等に関する,,explaining,ご説明申し上げます。議案書裏面をご覧ください。本条例では、非常勤 特別職の報酬額につきまして、別表におきまして、１の教育委員からその他の委員まで、２４の区 分に分けて規定しております。２３番目の学校医の次に２４統計調査員を追加し、その他の委員 を２５番とするものでございます。改正の理由でございます。これまで、国勢調査や農業センサス など、調査員として多くの村民の方にご協力をいただいてきたわけでございますが、それらの調 査は国が実施主体であり、また報酬の基準額が決められておりましたことから、本村の規定は必 要ないとの認識でございました。しかしながら、実際の報酬額決定と支払いは村が行っていること 
R4-3kaigiroku,2022,13,総務課長 (General Affairs Chief),◎議案第６号職員の育児休業等に関する条例の一部を改正,,explaining,はい。ご説明申し上げます。本改正につきましては、育児休業等の取得 推進を図るためのものでございます。先ず、非常勤職員にかかる育児休業等の取得要件の緩和 につきまして、議案書裏面をご覧ください。第２条第３号の中で規定しています引き続き在職した 期間が１年以上の要件を廃止します。次に、制度周知の必要性から、第２１条におきまして、該 当する職員に対する制度周知や意向確認の機会を設けるとしています。第２２条では、勤務環 境の整備と致しまして、研修の実施や相談体制の整備について規定しております。説明は、以 上でございます。
R4-3kaigiroku,2022,14,総務課長 (General Affairs Chief),◎議案第７号御杖村消防団員等公務災害補償条例の一部を,,explaining,はい、失礼します。ご説明申し上げます。本条例の第３条第２項のただし 書きにおきましては、こう書かれています。、傷病補償年金又は、年金である障害補償若しくは遺 族補償を受ける権利を担保に供することができるとされています。このただし書きを削除するもの でございます。併せて、令和４年３月３１日までに、既にという意味です。貸付の申し込みがあった 場合又は当該権利を担保に供し、貸付を受けていた場合については、従前の例によることとする 経過措置を設けるものでございます。年金制度の強化という意味合いで、担保を許可していたも のを許可しないという改正でございます。以上でございます。
R4-3kaigiroku,2022,15,総務課長 (General Affairs Chief),◎議案第８号奈良県広域消防組合規約の変更について,,explaining,はい。それではご説明申し上げます。議案書裏面をご覧ください。先ず、 第５条におきまして、議員の定数を２５人から２６人へ１増としています。選出につきましては、これ まで市町村の長または議員の中からとしていたものを、市町村の議員の中からに変更します。第 ６条では、任期の延長を求める意見が多かったため、任期を１年から２年に変更しております。任 期の始期、始まりにつきましては、これまで、構成市町村の議会役員の改選の結果待ち等不在 期間が発生しておりましたことから、任期が曖昧な状態となっていましたが、これを明確にするた －15－ め、規約において条例で定めるとする規定を追加しております。なお、現在の任期
R4-3kaigiroku,2022,15,総務課長 (General Affairs Chief),◎議案第８号奈良県広域消防組合規約の変更について,,explaining,失礼致します。ただ今の山岡議員の質問にお答え申し上げます。ご指摘 のとおり現在は１年任期でございます。それと現在は古川議員に出ていただいてるということでご ざいます。したがいまして、先程今の条例におきましては、任期が３月末までということになります ので、３月末で古川議員の任期は終了するということになります。ですから、４月１日から今の現行 で規約でございますので、４月１日からは、曽爾村から出していただくと。ただし、先程も説明の中 で申し上げました議員の役員改選の時期で中々役員が決まらないというのが各市町村ございます。 ですから、４月１日にすぐ曽爾村から出せるのかという問題がございます。ですから、
R4-3kaigiroku,2022,16,総務課長 (General Affairs Chief),◎議案第８号奈良県広域消防組合規約の変更について,,explaining,補足説明させていただきます。第２区分につきましては、ご指摘いただき ましように、桜井市それと宇陀市・宇陀郡という形になっております。で、第２区分の桜井市につき ましては、市ですので毎期議員になっていただくということでございます。宇陀市・宇陀区分につき ましては、先程申し上げました議員は２人ということになりますので、宇陀市の１名は毎年、もう１人 は曽爾と御杖から２年ごとに出していくということになります。先程の議員の改選につきましても、同 様の考え方で引き続き出してもらうということになると思います。
R4-3kaigiroku,2022,25,総務課長 (General Affairs Chief),◎議案第１３号令和４年度御杖村一般会計予算の議定について,504558000,explaining,それでは、ご説明申し上げます。今見ていただいておりました資料、村長 の施政方針に続きまして６ページをご覧ください。令和４年度の予算案総括表でございます。それ では、６ページでございます。令和４年度の予算案総括表でございます。一番上、一般会計の欄 でございますが、予算総額２３億４，７００万円で、前年度に比べ２億 1１，４００万円、８．４％の減額 となります。右の７ページをご覧ください。一般会計の歳入の内訳について、ご説明申し上げま す。この表につきましては、歳入の款の区分毎に、令和４年度及び３年度の予算額と構成比、増 －22－ 減額と増減率、右端に説明番号を付けております。この説明番号に応じ、８
R4-6kaigiroku,2022,10,総務課長 (General Affairs Chief),◎議案第１９号御杖村フルタイム会計年度任用職員の給与に,,other/responding,議長。
R4-6kaigiroku,2022,10,総務課長 (General Affairs Chief),◎議案第１９号御杖村フルタイム会計年度任用職員の給与に,304200,other/responding,失礼いたします。本村が雇用しております小学校の講師の給料につき ましては、このフルタイム会計年度任用職員としておることから、本条例第３条の規定に基づきま して、条例中の別表第１を使いまして、経験年数等を考慮して決定をしておる次第でございま す。しかしながら、ここで定めている号級だけでは、県が雇用している場合の給料や、教員不足 の現状に対応できていない状況となっておりますことから、この別表第１中の２級の列、７０号給２ ８５，８００円の次に７１号級２８６，６００円から１２５号級３０４，２００円までの号級を追加するもので ございます。ご審議の程、よろしくお願い致します。
R4-6kaigiroku,2022,12,総務課長 (General Affairs Chief),◎報告第１号令和３年度御杖村一般会計繰越明許費繰越,,other/responding,議長。
R4-6kaigiroku,2022,13,総務課長 (General Affairs Chief),◎報告第１号令和３年度御杖村一般会計繰越明許費繰越,,proposing,それではページめくっていただきまして、繰越計算書をご覧いただきた いと思います。３月定例会の一般会計補正予算で承認いただきました１１の事業につきまして、そ の繰越額が確定をしましたので、事業の進捗も含めて簡単にご報告をさせていただきたいと思い ます。まず、定年延長関連例規整備支援事業につきましては、関係条例等の提案につきまして、 １２月定例会を目標に委託事業を進めておるところでございます。つぎ、住基システム改修事業に つきましては、転出転入手続きのワンストップ化を図るものでございますが、国からの仕様内容が いまだ不明確なものがございます。国からの仕様が明確になりしだい対応したいと考えております
R4-9kaigiroku,2022,8,総務課長 (General Affairs Chief),◎議案第２２号職員の育児休業等に関する条例の一部を改正,,other/responding,議長。
R4-9kaigiroku,2022,8,総務課長 (General Affairs Chief),◎議案第２２号職員の育児休業等に関する条例の一部を改正,,explaining,失礼します。主な改正内容につきまして、大きく三点に分けてご説明を申 し上げます。先ず、非常勤職員が育児休業を取得する場合は、その子が１歳６ヶ月に達する日ま で引き続き採用見込みがある場合に限られていましたが、その期間を約８ヶ月に短縮するものでご ざいます。二点目の改正でございます。非常勤職員に係る育児休業等の柔軟化を行うものでござ います。これまでは、出生から５７日、また５７日超えから１歳までの間につきましては、各期間１回 のみ取得可能となっていましたが、これを各期間を２回に分けて取得可能としました。また１歳から １歳６ヶ月、１歳６ヶ月から２歳の間は、各期間１回については変更ありませんが、限定
R5-1kaigiroku,2023,9,副村長 (Vice Mayor),◎議案第１号御杖村議会の個人情報の保護に関する条例,,explaining,条例の趣旨につきましては、御杖村議会における個人情報の適正な取扱 に関し必要な事項を定めるとともに、議会が保有する個人情報の開示や利用停止等を求める個 人の権利を明らかにすることにより、議会事務の適正かつ円滑な運営を図りつつ、個人の権利利 益を保護することを目的として制定するものです。第１章にて、目的と用語の定義、議会の責務を 定めています。第２章では、個人情報の適正な取扱に向けた規定、第３章では、個人情報ファイ ル簿の作成と公表、第４章では、情報の開示請求、また情報の訂正や利用停止請求について定 めています。第５章では、請求者等への利便考慮と審査会への諮問について、最後の第６章では、 職員や
R5-1kaigiroku,2023,9,副村長 (Vice Mayor),◎議案第２号御杖村個人情報保護法施行条例の制定について,,other/responding,議長。
R5-1kaigiroku,2023,10,副村長 (Vice Mayor),◎議案第２号御杖村個人情報保護法施行条例の制定について,,explaining,本条例は、改正されました個人情報の保護に関する法律の施行に関し必 要となる事項を定めるものです。第２条において、法の対象となる機関を、村長部局をはじめ、教 育委員会やその他の行政委員会、また財産区と定義しています。議会については、前議案の条 －10－ 例が適用されます。第３条においては、個人情報ファイルにかかる帳簿の作成と公表の基準につ いて定め、第４条では、開示請求手数料と写しの交付手数料について規定しています。第５条で は、適正な個人情報の取扱を確保するため､審査会への諮問について定めています。なお、附則 第２条において、不要となる個人情報保護条例を廃止するとしています。以上、簡単ですが説
R5-1kaigiroku,2023,10,副村長 (Vice Mayor),◎議案第３号デジタル社会の形成を図るための関係法律の,,other/responding,議長。
R5-1kaigiroku,2023,11,副村長 (Vice Mayor),◎議案第３号デジタル社会の形成を図るための関係法律の,,explaining,この改正につきましては、個人情報保護法が改正され、また、改正に伴い 村の個人情報保護条例が廃止されることになりましたが、この新法や廃止した条例を引用していま す二つの条例について改正が必要となるものです。その条例は、御杖村情報公開・個人情報保 護・行政不服審査会条例と御杖村の公の施設の指定管理者の指定の手続等に関する条例です が、どちらの条例についても、引用しています個人情報保護条例の文言を新個人情報保護法 －11－ や、先にご提案いたしました御杖村個人情報保護法施行条例に改めることにより引用替えを行う ものです。施行日は、関係法律の規定により令和５年４月１日となります。以上簡単ですが、説明と
R5-1kaigiroku,2023,11,副村長 (Vice Mayor),◎議案第４号職員の定年等に関する条例の一部を改正する,,other/responding,議長。
R5-1kaigiroku,2023,12,副村長 (Vice Mayor),◎議案第４号職員の定年等に関する条例の一部を改正する,,explaining,それでは私の方から主な改正点についてご説明申し上げます。まず、職員 の定年に係る年齢の改正でございますが、現行の６０歳を段階的に引き上げ、令和１３年４月には ６５歳とする規定を設けます。次に、管理監督職に従事する上限年齢制、言い換えて役職定年制 とも言いますが、各課長補佐級以上の管理監督職員が６０歳に達した場合、翌年の４月１日までに 非管理監督職主任級以下に降任する規定を設けます。次に再任用制度についてですが、６０歳 以降から定年退職の日までの間、退職した職員を短時間勤務の職に再任用できる規定を設けま す。また現行の再任用制度は廃止しますが、定年を段階的に引き上げる間は現行と同様に、再任 用で
R5-1kaigiroku,2023,12,副村長 (Vice Mayor),◎議案第５号地方公務員法の一部を改正する法律の施行に,,other/responding,議長。
R5-1kaigiroku,2023,13,副村長 (Vice Mayor),◎議案第５号地方公務員法の一部を改正する法律の施行に,,explaining,本案につきまして、管理監督職勤務上限年齢制及び、定年前再任用短時 間勤務制の導入等に関し、それに関係する八つの条例について、改正と廃止が必要となるもので す。先ず、改正が必要な条例は、御杖村人事行政の運営等の状況の公表に関する条例、職員の 勤務時間、休暇等に関する条例、職員の育児休業等に関する条例、職員の分限に関する手続及 び効果に関する条例、職員の懲戒の手続及び効果に関する条例、一般職の職員の給与に関す る条例、の六つで、制度導入に伴い、その引用する条文号数の改正や、導入に関する細部の規 定を設けるものです。残る二つは、職員の再任用に関する条例と技能労務職員の給与に関する 条例で、新制度導入
R5-1kaigiroku,2023,33,副村長 (Vice Mayor),◎議案第２１号令和５年度御杖村一般会計予算の議定について,,other/responding,議長。
R5-1kaigiroku,2023,37,副村長 (Vice Mayor),◎議案第２１号令和５年度御杖村一般会計予算の議定について,202467000,explaining,令和５年度御杖村一般会計予算の概要について、ご説明申し上げます。 説明要旨及び説明資料、村長の施政方針に続きまして、６ページをご覧下さい。令和５年度の予 算案総括表でございます。一般会計の欄ですが、予算総額２７億６，４００万円で、前年度に比べ４ －34－ 億１，７００百万円、１７．８％の増額となります。右の７ページ、一般会計の歳入の内訳について、 ご説明申し上げます。この表につきましては、歳入の款の区分毎に、令和５年度及び４年度の予 算額と構成比、増減額と増減率、右端に説明番号を付けております。この説明番号に応じ、次の ページから増減の内訳について記載しております。それでは、款の区分で金額の大
R6-1kaigiroku,2024,36,副村長 (Vice Mayor),◎議案第２１号令和６年度御杖村一般会計予算の議定について,,other/responding,議長。
R6-1kaigiroku,2024,40,副村長 (Vice Mayor),◎議案第２１号令和６年度御杖村一般会計予算の議定について,304473000,explaining,それでは、令和６年度御杖村一般会計予算の概要につきまして、ご説明 申し上げます。先程の資料、村長の施政方針ところにございます、説明要旨及び説明資料の中の、 ６ページをご覧下さい。この表につきましては、令和６年度の本村全会計の予算案総括表となって おります。区分、一般会計の欄をご覧下さい。予算総額２５億７，３００万円で、前年度に比べまし て１億９，１００万円、６．９％の減額となります。７ページをご覧下さい。この表につきましては、一般 会計の歳入の款の区分ごとに記載しているものでございます。それでは、款の区分で金額の大き い順、すなわち構成比率が高い順に、区分ごとに令和６年度の予算額、構成比、比較
R86teireigikaigijiroku,2026,31,副村長 (Vice Mayor),◎報告第２号,869000,explaining,"ご説明申し上げます。去る、3 月定例会において、一般会計補 正予算第 8 号で可決いただきました繰越明許費 7 事業につきまして、繰越額が確定しまし たので報告いたします。議案書の最後、繰越計算書をご覧ください。 まず、各事業の金額は、補正予算にて許可いただいた金額で、その右、翌年度繰越額が確 定した金額となります。各事業、確定した金額でご説明いたします。 地域振興券交付事業、翌年度繰越額 64,869 千円は、物価高騰対応重点支援地方創生臨時 交付金を活用した事業で、ひとり 5 万円の地域振興券を 3 月に配布しており、その使用期 限は、令和 9 年 2 月末までとなっています。次に、地籍調"
kaigiroku,2024,18,副村長 (Vice Mayor),◎報告第１号令和５年度御杖村一般会計繰越明許費繰越,,other/responding,議長。
kaigiroku,2024,18,副村長 (Vice Mayor),◎報告第１号令和５年度御杖村一般会計繰越明許費繰越,8074000,explaining,ご説明申し上げます。去る、３月の定例会におきまして、一般会計補正予 算第９号で可決いただきました９つの事業について、その繰越額が確定しましたので、繰越金額と 進捗状況も併せてご説明申し上げます。議案書の最後、繰越計算書をご覧ください。まず、住民 基本台帳事務、繰越額３９６万円は、住民票の振り仮名対応に係るシステム改修委託で、国から の仕様が決定したため、現在、受託業者が作業を進めており、１１月末頃に完了する見込みでご ざいます。次に、戸籍総合システムの運用８０７万４千円は、戸籍の振り仮名対応に係るシステム の改修委託費用で、５月の末に国からの仕様が決定したところです。その仕様決定の中で、当初 
kaigirokuR7,2025,32,副村長 (Vice Mayor),◎議案第２５号令和７年度御杖村一般会計予算の議定について,,other/responding,議長。
kaigirokuR7,2025,36,副村長 (Vice Mayor),◎議案第２５号令和７年度御杖村一般会計予算の議定について,407053000,explaining,令和７年度御杖村一般会計予算の概要につきまして、ご説明申し上げま す。村長の施政方針に続きまして、令和７年度予算案説明要旨及び説明資料の６ページをご覧く ださい。まず６ページこちらの表は、本村の令和７年度全会計の予算案総括表となっています。区 分、一般会計の欄をご覧ください。予算総額２６億９，１００万円で、前年度に比べ１億１，８００万円、 ４．６％の増額となります。次７ページをご覧ください。この表につきましては、一般会計の歳入の 款の区分毎に記載しているものです。それでは、款の区分で金額の大きい順、すなわち構成比率 が高い順に、区分、令和７年度予算額、構成比、それと比較増減額、増減率について申
r7dai2kaiteireikaikaigiroku,2025,11,副村長 (Vice Mayor),◎報告第１号令和６年度御杖村一般会計繰越明許費繰越,,other/responding,議長。
